Time (s),Speed (m/s),Sigma,Kill Rate,Mode,Row Spacing,Kill Total
300,6,19.8,0.9,1,4.95,749.9245106
300,6,19.8,0.9,1,9.9,22.12849067
300,6,19.8,0.9,1,19.8,22.12849067
300,6,19.8,0.9,2,1.98,1146.45332
300,6,19.8,0.9,2,4.95,749.9245106
300,6,19.8,0.9,2,9.9,22.12849067
300,6,19.8,0.9,2,19.8,22.12849067
300,6,19.8,0.9,3,1.98,1146.45332
300,6,19.8,0.9,3,4.95,749.9245106
300,6,19.8,0.9,3,9.9,22.12849067
300,6,19.8,0.9,3,19.8,22.12849067
300,6,19.8,0.9,4,0,3447.661754
300,6,19.8,0.9,4,0,3470.134561
300,6,19.8,0.9,4,0,3470.159223
300,6,19.8,0.9,4,0,3470.167089
300,6,19.8,0.9,4,0,3447.66045
300,6,19.8,0.9,4,0,3470.166172
300,6,19.8,0.9,4,0,3441.210804
300,6,19.8,0.9,4,0,3470.169998
300,6,19.8,0.9,4,0,3470.169927
300,6,19.8,0.9,4,0,3469.944216
300,6,19.8,0.9,4,0,3459.457844
300,6,19.8,0.9,4,0,3454.296879
300,6,19.8,0.9,4,0,3470.332198
300,6,19.8,0.9,4,0,3470.170003
300,6,19.8,0.9,4,0,3470.169623
300,6,19.8,0.9,4,0,3447.66242
300,6,19.8,0.9,4,0,3457.817971
300,6,19.8,0.9,4,0,3444.078542
300,6,19.8,0.9,4,0,3456.690796
300,6,19.8,0.9,4,0,3477.34687
300,6,19.8,0.9,5,0,5329.213232
300,6,19.8,0.9,5,0,5313.471333
300,6,19.8,0.9,5,0,5312.984505
300,6,19.8,0.9,5,0,5318.824956
300,6,19.8,0.9,5,0,5304.998999
300,6,19.8,0.9,5,0,5330.693197
300,6,19.8,0.9,5,0,5308.846075
300,6,19.8,0.9,5,0,5305.369867
300,6,19.8,0.9,5,0,5290.610446
300,6,19.8,0.9,5,0,5312.981286
300,6,19.8,0.9,5,0,5312.984504
300,6,19.8,0.9,5,0,5311.0188
300,6,19.8,0.9,5,0,5312.053349
300,6,19.8,0.9,5,0,5305.369867
300,6,19.8,0.9,5,0,5305.369949
300,6,19.8,0.9,5,0,5312.777263
300,6,19.8,0.9,5,0,5296.611772
300,6,19.8,0.9,5,0,5311.018703
300,6,19.8,0.9,5,0,5305.369865
300,6,19.8,0.9,5,0,5336.156944
300,6,49.5,0.5,1,1.98,353.9063048
300,6,49.5,0.5,1,4.95,207.9537015
300,6,49.5,0.5,1,9.9,4.17054384
300,6,49.5,0.5,1,19.8,4.17054384
300,6,49.5,0.5,2,1.98,353.9063048
300,6,49.5,0.5,2,4.95,207.9537015
300,6,49.5,0.5,2,9.9,4.17054384
300,6,49.5,0.5,2,19.8,4.17054384
300,6,49.5,0.5,3,1.98,353.9063048
300,6,49.5,0.5,3,4.95,207.9537015
300,6,49.5,0.5,3,9.9,4.17054384
300,6,49.5,0.5,3,19.8,4.17054384
300,6,49.5,0.5,4,0,1027.692648
300,6,49.5,0.5,4,0,1027.106007
300,6,49.5,0.5,4,0,1029.187566
300,6,49.5,0.5,4,0,1024.887407
300,6,49.5,0.5,4,0,1024.887546
300,6,49.5,0.5,4,0,1029.187567
300,6,49.5,0.5,4,0,1025.801511
300,6,49.5,0.5,4,0,1029.187548
300,6,49.5,0.5,4,0,1029.187548
300,6,49.5,0.5,4,0,1025.801511
300,6,49.5,0.5,4,0,1024.887407
300,6,49.5,0.5,4,0,1024.887859
300,6,49.5,0.5,4,0,1027.752585
300,6,49.5,0.5,4,0,1025.047514
300,6,49.5,0.5,4,0,1024.888312
300,6,49.5,0.5,4,0,1024.887717
300,6,49.5,0.5,4,0,1025.801743
300,6,49.5,0.5,4,0,1029.187566
300,6,49.5,0.5,4,0,1025.05087
300,6,49.5,0.5,4,0,1023.476536
300,6,49.5,0.5,5,0,1875.536122
300,6,49.5,0.5,5,0,1875.854115
300,6,49.5,0.5,5,0,1876.342858
300,6,49.5,0.5,5,0,1880.861389
300,6,49.5,0.5,5,0,1873.088321
300,6,49.5,0.5,5,0,1873.088321
300,6,49.5,0.5,5,0,1873.088326
300,6,49.5,0.5,5,0,1873.088326
300,6,49.5,0.5,5,0,1884.037725
