Time,Speed,Sigma,Kill Rate,Mode,Row Spacing,Transition,Result
300,6,4.95,0.7,4,0,0.2,9829.5
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.5
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.5
300,6,4.95,0.7,4,0,0.2,9829.5
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.4
300,6,4.95,0.7,4,0,0.2,9829.5
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9824.2
300,6,4.95,0.7,4,0,0.4,9822.8
300,6,4.95,0.7,4,0,0.4,9824.8
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,4,0,0.6,9822.6
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.2,9994.9
300,6,4.95,0.7,5,0,0.2,9995.3
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.2,9994.9
300,6,4.95,0.7,5,0,0.2,9995.3
300,6,4.95,0.7,5,0,0.2,9994.9
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.2,9994.9
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.2,9994.9
300,6,4.95,0.7,5,0,0.2,9994.9
300,6,4.95,0.7,5,0,0.2,9995.3
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.2,9994.9
300,6,4.95,0.7,5,0,0.2,9994.9
300,6,4.95,0.7,5,0,0.2,9995.1
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.2
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.1
300,6,4.95,0.7,5,0,0.4,9995.1
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.2
300,6,4.95,0.7,5,0,0.4,9995.1
300,6,4.95,0.7,5,0,0.4,9995.1
300,6,4.95,0.7,5,0,0.4,9995.1
300,6,4.95,0.7,5,0,0.4,9995.1
300,6,4.95,0.7,5,0,0.4,9995.1
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.1
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.4,9995.3
300,6,4.95,0.7,5,0,0.6,9995.1
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.1
300,6,4.95,0.7,5,0,0.6,9995.3
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.1
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.3
300,6,4.95,0.7,5,0,0.6,9995.3
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.2
300,6,4.95,0.7,5,0,0.6,9995.1
300,6,4.95,0.7,5,0,0.6,9995.2
